channel,period_interval_raw,deleted_at_v2,period_interval,about,browserUserAgent,periodInterval,score_index_info,day_of_week_raw,region,src_date,v_677,CHANNEL,f_versi,month,day_of_week,BROWSER_USER_AGENT,devtype,v_zve,translation,nullableFlag,dte,endDate,HEADLINE_TITLE_TEXT,channel_2,vby19,medium,file_path,date_v2,dim_chan,qtrval,year_6,sadt73,p_488,created_at,v_868,tenant_identifier,measvol,user_device_type,chrome,enddt,channel_14,SCORE_INDEX,ifpg43,whifrq29,from_date,q3,dim_end_,monthval,src_salary_compensation,val_836,year,src_end_date,dim_time,fact_quarter,dev_type,meta_onpm,datetime,year_2,v_873,educationLevel,c_601,VITAL_SIGN,d_ji,error,eaxwws4,kjpyvu64,raw_timestamp,price_cost_val,THRESHOLD_LIMIT,end_dt,dim_etl_batch_id,ttl
Email,Q1 2024,,Q1 2024,The service includes compliance records.,Opera,FY 2025,4.61,Saturday,WA,2020-12-07,3.21,Email,1.5.86,March,Sunday,Safari,IoT,Chrome,Hola,YES,2023-01-23,2020-02-09,Breaking: Policy Change,In-Store,Smart TV,Email,/var/logs/daily_690.yaml,2020-07-04,Social Media,Q4 2021,1999,3.65,2023-04-07T00:00:00Z,2025-04-21T17:35:25Z,2022-06-07,tenant-005,9817.36,Wearable,Opera,2024-09-21,Social Media,3.61,June,voice_4fd5b7d8f0f124b0.wav,2020-07-10,Q2 2021,2020-04-08,December,"$177,613",2014,2011,2024-05-23,07:18:05,Q3 2025,Wearable,Q4 2022,2020-07-09T00:00:00Z,2011,Metformin 500mg,High School,Chrome,BP 132/102 HR 92,false,ValueError: invalid literal for int(),+61,Chrome,2021-10-25 21:50:06,6591.4,min=720,2019-12-14,batch-20201201-56,357 days
In-Store,Q1 2024,,H2 2023,This record tracks operational metrics.,Safari,2020-2025,4.41,Saturday,OH,2020-11-03,5.56,Web,1.19.95,October,Tuesday,Safari,IoT,Opera,Bonjour,YES,2021-10-24,2024-01-12,Breaking: Product Launch,Social Media,Smart TV,Social Media,/var/data/batch_597.log,2022-02-24,Email,Q2 2020,2009,6.76,2024-05-06T00:00:00Z,2025-11-17 20:19:06,2025-01-04,tenant-047,285.26,IoT,Opera,2018-02-27,Web,3.36,October,voice_d136d9287129e8b7.wav,2024-10-14,Q2 2024,2026-03-20,June,"$130,344",1995,2020,2019-11-12,18:29:54,Q3 2026,IoT,Q2 2023,2018-09-30T00:00:00Z,2006,Lisinopril 10mg,High School,Firefox,BP 115/83 HR 114,false,NullPointerException at line 7351,+44,Opera,2018-08-25 01:23:16,1631.1,crit=5917,2018-03-05,batch-20200826-34,255 days
Mobile,2020-2025,,Q1 2024,The product monitors operational metrics.,Safari,2020-2025,3.92,Monday,NC,2026-03-11,9.51,Chat,0.18.79,July,Sunday,Brave,Mobile,Edge,Hola,YES,2022-12-23,2026-07-26,Breaking: Product Launch,Web,Wearable,Email,/var/config/batch_743.csv,2025-03-04,Phone,Q4 2025,2019,6.12,2018-11-30T00:00:00Z,2020-02-27 02:46:16,2025-08-18,tenant-021,4463.05,Tablet,Firefox,2019-04-11,In-Store,6.09,July,voice_85d7dc1b75b35442.wav,2020-04-10,Q1 2020,2019-03-08,April,"$40,378",2024,2006,2020-01-07,01:18:56,Q3 2026,Wearable,Q4 2024,2018-12-10T00:00:00Z,2024,Omeprazole 20mg,Bachelor's,Chrome,BP 165/101 HR 90,true,HTTP 503 Service Unavailable,+55,Firefox,2026-02-05 07:14:17,321.35,min=6545,2020-10-13,batch-20200727-43,348 days
Mobile,Q1 2024,,2020-2025,The product tracks operational metrics.,Firefox,Jan-Mar,9.59,Sunday,GA,2023-12-03,1.32,Social Media,4.8.73,February,Sunday,Opera,IoT,Edge,Bonjour,NO,2021-08-05,2026-03-03,Breaking: Product Launch,In-Store,Mobile,Phone,/var/data/batch_44.yaml,2019-11-30,Phone,Q4 2026,2014,4.84,2023-05-17T00:00:00Z,2019-08-19 15:33:24,2023-02-28,tenant-022,6169.31,Mobile,Chrome,2021-01-07,Social Media,9.52,February,voice_6ac3f69f2bf0f799.wav,2021-05-09,Q3 2024,2020-08-03,January,"$183,260",2006,2009,2024-08-13,03:17:37,Q2 2023,Smart TV,Q1 2025,2023-07-24T00:00:00Z,2000,Ibuprofen 200mg,Master's,Opera,BP 176/83 HR 84,false,PermissionDenied: insufficient privileges,+91,Chrome,2018-03-21 09:17:48,9726.47,warn=6681,2021-02-19,batch-20220922-78,314 days
Web,2020-2025,2020-01-26T21:11:54Z,H2 2023,The product tracks operational metrics.,Chrome,2020-2025,2.85,Tuesday,WA,2018-03-08,0.52,Web,0.14.61,December,Monday,Brave,Tablet,Brave,Hola,NO,2026-01-13,2018-06-30,Breaking: Product Launch,Mobile,Desktop,Social Media,/var/uploads/daily_403.csv,2026-02-27,Mobile,Q1 2025,2019,0.01,2020-07-26T00:00:00Z,2018-11-02 04:19:17,2024-05-09,tenant-048,74.61,Tablet,Brave,2018-11-21,Mobile,9.97,May,voice_a7db35338e75ce39.wav,2021-09-08,Q1 2020,2025-04-19,April,"$30,405",2021,2007,2026-06-07,03:30:39,Q1 2020,Mobile,Q4 2026,2026-08-03T00:00:00Z,2013,Albuterol 90mcg,Bachelor's,Firefox,BP 160/61 HR 113,false,NullPointerException at line 2896,+61,Opera,2021-03-13 16:28:35,6056.32,max=6285,2019-10-21,batch-20181220-24,132 days
Web,Jan-Mar,,Jan-Mar,The customer account tracks compliance records.,Edge,H2 2023,9.32,Thursday,GA,2020-12-21,4.51,Phone,4.4.16,April,Monday,Edge,Smart TV,Chrome,Namaste,YES,2018-05-28,2026-07-03,New: Policy Change,Social Media,Tablet,Web,/var/tmp/daily_694.xml,2022-07-21,Mobile,Q4 2020,1995,8.35,2023-04-09T00:00:00Z,2020-09-13T06:04:55Z,2022-05-23,tenant-047,4090.15,Mobile,Opera,2023-09-27,Chat,6.42,November,voice_e0e6baadaac2d6b3.wav,2026-06-07,Q1 2024,2026-07-09,November,"$195,162",1992,2000,2024-07-04,02:09:44,Q2 2026,Tablet,Q1 2020,2022-09-04T00:00:00Z,2025,Lisinopril 10mg,High School,Opera,BP 123/89 HR 106,false,HTTP 503 Service Unavailable,+91,Brave,2022-12-15T17:04:20Z,8855.31,warn=9971,2019-01-28,batch-20200514-61,223 days
In-Store,FY 2025,,H2 2023,The service monitors transaction histories.,Chrome,H2 2023,7.91,Wednesday,NY,2022-06-13,5.43,Mobile,1.15.78,January,Saturday,Safari,Desktop,Firefox,Namaste,false,2019-10-27,2019-12-13,New: Policy Change,Chat,Mobile,Phone,/var/uploads/export_186.log,2023-11-02,Email,Q3 2022,2021,0.27,2020-12-29T00:00:00Z,2024-08-10T15:48:31Z,2025-05-01,tenant-008,4895.68,Desktop,Safari,2019-01-20,Email,6.9,November,voice_0d2aff3ca816a203.wav,2022-05-29,Q3 2026,2026-04-14,April,"$125,702",2024,2015,2023-11-21,22:55:39,Q3 2025,Wearable,Q4 2023,2023-05-11T00:00:00Z,2008,Metformin 500mg,Associate's,Opera,BP 124/89 HR 84,true,ValueError: invalid literal for int(),+55,Brave,2024-09-24T04:39:56Z,9100.04,crit=2791,2024-10-19,batch-20200416-25,174 days
Email,FY 2025,2025-07-28 03:31:20,H2 2023,The service tracks compliance records.,Firefox,FY 2025,0.51,Wednesday,GA,2019-03-05,3.2,In-Store,1.14.99,November,Friday,Brave,Desktop,Firefox,Namaste,false,2020-11-18,2023-07-12,New: Partnership,Web,Mobile,Email,/var/data/batch_263.parquet,2020-02-19,In-Store,Q4 2021,2015,8.82,2023-07-24T00:00:00Z,2022-03-25T02:17:20Z,2023-12-17,tenant-036,6330.66,Tablet,Firefox,2025-11-29,Chat,2.66,October,voice_d9a82e660a38f1ca.wav,2018-09-13,Q2 2024,2020-08-28,February,"$152,920",1999,2026,2023-05-20,05:20:33,Q3 2025,Wearable,Q1 2024,2024-09-09T00:00:00Z,2000,Lisinopril 10mg,Master's,Safari,BP 142/106 HR 84,false,ValueError: invalid literal for int(),+44,Opera,2024-08-28T07:36:10Z,7475.39,warn=7737,2020-07-21,batch-20251220-44,248 days
Web,Jan-Mar,,Jan-Mar,This record represents data processing activities.,Safari,Jan-Mar,7.96,Tuesday,CO,2022-12-26,7.92,Chat,2.18.16,June,Wednesday,Edge,Wearable,Firefox,Bonjour,true,2018-07-11,2026-08-26,New: Policy Change,Email,Smart TV,In-Store,/var/config/batch_9.csv,2021-07-15,In-Store,Q3 2024,2024,9.59,2020-03-07T00:00:00Z,2026-01-03 10:28:31,2019-05-30,tenant-018,5361.67,Mobile,Brave,2024-10-22,Email,0.73,May,voice_0d0de38bd9db1382.wav,2018-11-13,Q2 2020,2025-10-02,December,"$231,807",2014,1995,2018-07-01,06:03:17,Q4 2025,Mobile,Q3 2026,2026-06-01T00:00:00Z,2022,Albuterol 90mcg,Associate's,Edge,BP 176/68 HR 62,false,NullPointerException at line 4091,+49,Edge,2026-04-20T11:52:50Z,3613.72,warn=1673,2023-05-03,batch-20200401-99,329 days
Mobile,Jan-Mar,2019-03-19T09:18:25Z,H2 2023,The service includes data processing activities.,Brave,Q1 2024,8.89,Wednesday,MA,2025-06-27,9.89,Phone,3.3.26,May,Thursday,Safari,Wearable,Chrome,Namaste,NO,2020-06-28,2018-07-05,Updated: Product Launch,Phone,Mobile,Email,/var/tmp/batch_928.xml,2026-07-14,Social Media,Q1 2024,2001,5.24,2018-03-28T00:00:00Z,2025-03-11 02:00:58,2020-08-27,tenant-026,1602.98,Mobile,Firefox,2021-02-02,In-Store,5.49,January,voice_735253ae1e36ec45.wav,2020-08-24,Q4 2026,2019-12-11,January,"$142,803",2021,2021,2021-04-10,12:32:00,Q1 2020,Smart TV,Q1 2020,2019-04-04T00:00:00Z,2023,Albuterol 90mcg,High School,Chrome,BP 145/98 HR 86,false,PermissionDenied: insufficient privileges,+1,Safari,2026-08-24T11:08:57Z,4953.68,warn=6378,2024-04-08,batch-20220103-01,114 days
Mobile,FY 2025,2018-08-26 09:24:38,2020-2025,The service includes customer interactions.,Firefox,Q1 2024,9.69,Sunday,TX,2022-11-18,3.66,Phone,1.12.73,October,Thursday,Edge,Tablet,Chrome,Guten Tag,false,2018-12-11,2025-08-30,New: Partnership,Mobile,Smart TV,Social Media,/var/tmp/export_809.json,2022-06-01,Web,Q1 2023,2007,2.49,2020-07-22T00:00:00Z,2022-08-15 14:07:59,2025-01-19,tenant-002,1955.25,Mobile,Opera,2022-08-05,Chat,8.98,July,voice_1dc3911e9c4ae7e8.wav,2018-05-22,Q1 2026,2025-10-09,March,"$236,410",2000,2008,2026-08-29,21:13:45,Q4 2020,IoT,Q4 2024,2026-01-06T00:00:00Z,1998,Lisinopril 10mg,Bachelor's,Chrome,BP 168/97 HR 112,false,FileNotFoundError: 7459,+55,Opera,2020-01-09 02:51:16,7336.21,max=7290,2018-05-09,batch-20190503-55,28 days
Mobile,Jan-Mar,,FY 2025,The service represents transaction histories.,Opera,Q1 2024,3.84,Saturday,TX,2018-03-29,1.44,Mobile,5.0.52,October,Friday,Firefox,Mobile,Opera,Bonjour,YES,2021-09-15,2019-11-06,New: Partnership,Mobile,Mobile,Social Media,/var/exports/daily_395.csv,2019-07-22,Web,Q2 2026,1999,2.71,2018-02-27T00:00:00Z,2024-09-16 18:07:18,2018-03-26,tenant-011,6486.02,Desktop,Chrome,2023-07-21,Web,3.92,January,voice_019f7b2c0e8b6ea9.wav,2020-05-03,Q1 2024,2021-06-19,April,"$46,605",2026,1999,2021-06-27,01:00:40,Q1 2023,Mobile,Q2 2022,2020-08-19T00:00:00Z,2025,Omeprazole 20mg,Master's,Safari,BP 143/104 HR 119,true,FileNotFoundError: 4231,+61,Brave,2026-10-07 15:22:49,7181.38,warn=2250,2025-02-24,batch-20210508-92,53 days
Web,FY 2025,,H2 2023,This record manages operational metrics.,Chrome,FY 2025,6.76,Friday,OH,2022-05-02,9.09,In-Store,3.2.63,June,Wednesday,Safari,Tablet,Safari,Guten Tag,NO,2018-01-03,2024-11-22,Breaking: Policy Change,Phone,Desktop,In-Store,/var/tmp/export_258.xml,2024-12-11,Chat,Q3 2026,2025,5.03,2026-12-18T00:00:00Z,2025-11-15 06:07:01,2026-11-06,tenant-032,3029.17,Desktop,Opera,2024-03-31,Chat,3.54,October,voice_4448347e24dd97d1.wav,2026-02-12,Q4 2026,2025-12-04,August,"$227,157",1994,2025,2020-02-27,22:13:16,Q3 2023,Mobile,Q4 2021,2025-07-21T00:00:00Z,2019,Lisinopril 10mg,Associate's,Edge,BP 135/85 HR 100,false,NullPointerException at line 2385,+61,Safari,2021-12-20 17:01:23,9361.93,warn=4776,2019-07-30,batch-20240728-58,173 days
Mobile,H2 2023,,2020-2025,The customer account monitors operational metrics.,Brave,Jan-Mar,5.5,Thursday,CO,2024-09-10,7.78,Mobile,5.9.40,May,Wednesday,Opera,Desktop,Chrome,Bonjour,NO,2021-05-11,2020-04-21,New: Partnership,Social Media,Smart TV,Mobile,/var/tmp/export_664.parquet,2025-10-25,Phone,Q2 2023,1998,8.46,2024-04-24T00:00:00Z,2023-11-03T03:10:23Z,2022-12-11,tenant-035,3523.92,IoT,Edge,2023-11-09,In-Store,4.73,March,voice_4c8fa6917748dc39.wav,2023-07-17,Q2 2020,2026-07-15,February,"$82,393",2023,2018,2023-05-11,08:52:44,Q1 2024,Wearable,Q2 2021,2021-08-29T00:00:00Z,1994,Omeprazole 20mg,High School,Edge,BP 122/78 HR 99,false,PermissionDenied: insufficient privileges,+44,Safari,2021-08-12T13:39:47Z,7762.77,crit=2232,2022-03-23,batch-20220802-31,249 days
Mobile,H2 2023,,Q1 2024,The product includes compliance records.,Edge,H2 2023,2.03,Tuesday,GA,2021-09-13,3.47,Social Media,4.1.85,October,Saturday,Firefox,Desktop,Firefox,Hola,YES,2020-05-21,2025-04-03,New: Product Launch,Phone,Desktop,Web,/var/tmp/export_200.json,2026-07-31,Mobile,Q3 2020,2013,7.15,2024-03-21T00:00:00Z,2025-06-08T07:32:20Z,2022-09-13,tenant-003,9903.19,IoT,Opera,2021-12-30,Phone,2.58,February,voice_cb852dc906ff7101.wav,2024-11-23,Q3 2026,2024-09-10,April,"$58,849",1998,2022,2024-12-29,20:46:32,Q3 2021,Desktop,Q2 2025,2019-03-03T00:00:00Z,2026,Albuterol 90mcg,PhD,Chrome,BP 102/84 HR 104,false,NullPointerException at line 897,+86,Brave,2018-04-26 13:23:29,3453.18,max=444,2021-09-27,batch-20180425-43,61 days
Social Media,FY 2025,,FY 2025,The customer account manages data processing activities.,Safari,Q1 2024,4.51,Thursday,NY,2020-08-23,6.05,Email,4.13.93,September,Thursday,Opera,Desktop,Firefox,Bonjour,false,2023-01-04,2024-08-08,New: Product Launch,Mobile,Tablet,Social Media,/var/exports/daily_794.json,2022-06-13,Social Media,Q4 2025,2014,8.35,2026-12-08T00:00:00Z,2019-12-24T14:47:49Z,2023-09-06,tenant-013,8952.08,Wearable,Firefox,2021-09-17,Chat,4.68,August,voice_1bcf08d076e12c8c.wav,2024-06-05,Q1 2020,2022-11-13,November,"$75,762",2000,1992,2020-11-04,14:48:29,Q1 2023,Mobile,Q2 2020,2025-11-15T00:00:00Z,1994,Lisinopril 10mg,Associate's,Edge,BP 166/66 HR 58,true,NullPointerException at line 6236,+61,Brave,2026-04-05T03:11:39Z,4306.33,max=1972,2021-11-23,batch-20240421-62,146 days
Web,FY 2025,2025-05-28 22:11:59,Q1 2024,The product tracks operational metrics.,Firefox,2020-2025,4.36,Monday,CO,2026-05-10,6.27,Web,2.10.31,May,Monday,Firefox,Desktop,Opera,Konnichiwa,true,2026-01-24,2020-04-23,Breaking: Policy Change,Phone,Wearable,Mobile,/var/tmp/daily_997.parquet,2026-01-05,Mobile,Q4 2025,2012,5.23,2019-02-14T00:00:00Z,2023-12-03T16:51:56Z,2020-04-18,tenant-017,1225.18,Smart TV,Brave,2020-02-25,Mobile,3.91,January,voice_bd129ebbabb1a56d.wav,2022-06-14,Q2 2024,2025-12-06,February,"$102,213",2005,2017,2023-08-19,14:11:14,Q2 2020,Wearable,Q3 2021,2023-04-19T00:00:00Z,2013,Ibuprofen 200mg,Bachelor's,Safari,BP 108/87 HR 91,true,Connection timeout after 3008ms,+61,Chrome,2019-06-23T16:31:53Z,5678.17,crit=2932,2025-04-18,batch-20180715-24,265 days
Web,Jan-Mar,,H2 2023,The product includes data processing activities.,Opera,Jan-Mar,7.81,Monday,CO,2018-06-24,7.19,Email,3.1.41,October,Sunday,Firefox,Desktop,Chrome,Guten Tag,YES,2020-10-12,2022-10-22,Updated: Policy Change,In-Store,Wearable,Phone,/var/config/daily_449.parquet,2020-04-09,Social Media,Q1 2024,2025,4.68,2024-01-17T00:00:00Z,2023-10-02T12:55:34Z,2022-04-05,tenant-040,2411.15,IoT,Safari,2025-04-14,Web,1.1,August,voice_49156f21548761ff.wav,2021-09-16,Q1 2025,2023-08-30,October,"$243,151",2006,2009,2023-08-22,07:25:35,Q4 2024,Desktop,Q2 2023,2026-08-16T00:00:00Z,2008,Albuterol 90mcg,High School,Brave,BP 149/83 HR 61,false,Connection timeout after 6740ms,+86,Brave,2018-06-03 18:43:54,6762.06,warn=6816,2018-01-11,batch-20190606-56,273 days
Social Media,Q1 2024,,2020-2025,The product monitors compliance records.,Firefox,Q1 2024,2.92,Monday,IL,2021-01-25,5.41,Mobile,0.6.59,September,Tuesday,Edge,Wearable,Opera,Namaste,true,2018-03-17,2023-09-07,Breaking: Product Launch,Social Media,Smart TV,Email,/var/tmp/export_253.json,2025-03-27,In-Store,Q1 2026,2012,8.08,2019-12-11T00:00:00Z,2018-06-09 22:29:17,2025-02-12,tenant-006,7809.09,Desktop,Edge,2018-11-10,Social Media,3.04,November,voice_8cb29fad4d12f7e5.wav,2023-05-17,Q3 2026,2021-02-12,December,"$221,541",2010,1997,2018-02-21,14:37:55,Q1 2022,Tablet,Q4 2025,2020-10-11T00:00:00Z,1990,Omeprazole 20mg,PhD,Edge,BP 124/79 HR 66,false,FileNotFoundError: 7499,+55,Edge,2020-05-23T01:28:38Z,5759.71,crit=730,2018-05-26,batch-20191101-44,185 days
Email,H2 2023,,H2 2023,The customer account tracks operational metrics.,Brave,H2 2023,5.39,Saturday,NY,2020-01-23,5.43,Mobile,4.13.11,June,Tuesday,Edge,IoT,Brave,Hola,NO,2025-01-07,2023-01-20,Breaking: Product Launch,Phone,IoT,Mobile,/var/tmp/batch_811.parquet,2026-06-29,Email,Q1 2023,2021,0.4,2020-12-11T00:00:00Z,2025-01-20T04:38:40Z,2024-11-28,tenant-042,7086.78,Desktop,Safari,2025-04-18,Mobile,5.92,October,voice_196c3c0bd5d51fed.wav,2023-02-06,Q2 2025,2018-05-09,April,"$45,964",2025,2005,2022-06-23,13:48:50,Q2 2020,Smart TV,Q2 2026,2024-12-29T00:00:00Z,2021,Omeprazole 20mg,High School,Edge,BP 103/94 HR 105,true,FileNotFoundError: 8154,+49,Firefox,2023-01-07T13:33:58Z,3623.74,max=9860,2023-10-09,batch-20190304-08,308 days
Chat,Jan-Mar,,H2 2023,The customer account represents compliance records.,Chrome,FY 2025,9.51,Sunday,FL,2026-11-09,3.11,Social Media,5.19.11,February,Saturday,Firefox,Smart TV,Edge,Namaste,true,2026-04-05,2019-12-12,New: Partnership,Chat,Smart TV,Email,/var/data/daily_257.yaml,2020-11-23,Email,Q1 2024,1998,0.18,2025-03-30T00:00:00Z,2023-10-16 07:52:11,2025-12-18,tenant-036,1764.47,Mobile,Opera,2023-11-03,Chat,7.47,March,voice_f605081fff248b55.wav,2023-07-28,Q2 2020,2025-06-04,February,"$93,826",2007,1990,2025-02-10,04:29:34,Q1 2026,Desktop,Q2 2020,2022-04-14T00:00:00Z,2019,Albuterol 90mcg,Bachelor's,Safari,BP 154/83 HR 117,false,FileNotFoundError: 3596,+49,Chrome,2024-12-07 02:07:40,7651.0,warn=2487,2026-10-13,batch-20200601-75,128 days
Phone,Q1 2024,,FY 2025,The system includes data processing activities.,Edge,FY 2025,5.61,Friday,NY,2022-06-20,8.39,Web,1.14.7,February,Saturday,Brave,Smart TV,Opera,Konnichiwa,false,2025-09-28,2020-02-12,Breaking: Product Launch,Web,Wearable,Phone,/var/exports/daily_381.parquet,2023-09-25,Phone,Q2 2022,1995,9.27,2019-11-24T00:00:00Z,2024-05-09 21:25:58,2021-05-29,tenant-014,5546.6,IoT,Chrome,2025-03-30,Social Media,2.22,October,voice_69205365824bff18.wav,2023-11-14,Q4 2021,2026-09-12,November,"$99,139",2025,2011,2026-03-28,00:32:03,Q4 2021,Wearable,Q2 2020,2025-09-14T00:00:00Z,2020,Metformin 500mg,Bachelor's,Firefox,BP 146/62 HR 69,false,Connection timeout after 6354ms,+91,Chrome,2022-10-15T21:40:16Z,9077.55,crit=2952,2025-12-01,batch-20200714-59,160 days
Chat,H2 2023,,FY 2025,The service includes customer interactions.,Firefox,2020-2025,9.51,Wednesday,FL,2024-06-16,9.71,In-Store,3.7.57,June,Wednesday,Opera,Mobile,Firefox,Konnichiwa,false,2025-07-13,2026-07-06,Updated: Product Launch,Email,Mobile,Web,/var/exports/batch_293.parquet,2024-09-21,Web,Q1 2024,2005,1.86,2025-07-25T00:00:00Z,2023-04-20 08:43:14,2023-05-10,tenant-047,457.21,Tablet,Brave,2021-08-06,Email,9.76,March,voice_d45dd11dad11883b.wav,2025-10-03,Q2 2023,2020-06-11,June,"$215,123",2000,2002,2019-03-06,03:59:14,Q2 2025,Desktop,Q3 2023,2025-01-30T00:00:00Z,2002,Albuterol 90mcg,Associate's,Brave,BP 174/103 HR 58,false,ValueError: invalid literal for int(),+81,Safari,2024-09-03 18:43:22,770.73,min=1632,2022-02-17,batch-20260420-14,95 days
Social Media,Jan-Mar,2024-07-06 22:15:41,2020-2025,The customer account tracks data processing activities.,Safari,Jan-Mar,7.93,Tuesday,TX,2023-11-07,8.57,In-Store,4.4.10,September,Monday,Edge,Tablet,Firefox,Konnichiwa,YES,2019-12-24,2024-12-28,Updated: Partnership,Phone,Wearable,Social Media,/var/uploads/daily_124.xml,2022-08-22,Mobile,Q2 2020,2005,4.2,2023-12-07T00:00:00Z,2021-08-28 00:36:32,2025-12-27,tenant-041,9398.48,Smart TV,Edge,2019-05-07,Mobile,3.0,November,voice_d759cce4063f6203.wav,2020-08-16,Q2 2024,2023-04-07,February,"$38,468",2008,2016,2025-08-02,19:48:25,Q3 2026,Smart TV,Q1 2020,2019-08-16T00:00:00Z,2022,Ibuprofen 200mg,High School,Brave,BP 122/72 HR 107,true,Connection timeout after 7392ms,+81,Opera,2021-05-03T06:36:42Z,7156.26,warn=3942,2023-03-12,batch-20190603-41,38 days
Chat,Jan-Mar,,H2 2023,This record manages transaction histories.,Safari,FY 2025,5.54,Monday,MA,2019-08-14,1.59,Social Media,0.0.54,May,Tuesday,Brave,Tablet,Opera,Hola,YES,2025-12-16,2024-12-20,Breaking: Product Launch,Email,Wearable,Mobile,/var/uploads/batch_252.csv,2021-02-18,Phone,Q4 2025,2017,2.91,2021-06-29T00:00:00Z,2025-01-01 06:49:29,2026-05-19,tenant-042,4000.33,Smart TV,Edge,2020-06-08,Phone,1.54,July,voice_280b9824a0f50dce.wav,2025-04-28,Q1 2021,2020-12-16,August,"$188,223",2000,2016,2023-11-15,04:20:32,Q1 2021,IoT,Q1 2021,2021-06-28T00:00:00Z,1999,Omeprazole 20mg,High School,Firefox,BP 146/91 HR 94,false,PermissionDenied: insufficient privileges,+33,Brave,2021-07-06T13:37:03Z,6619.43,min=2401,2018-01-21,batch-20260709-60,223 days
Mobile,2020-2025,,Q1 2024,The product represents customer interactions.,Brave,FY 2025,0.72,Wednesday,FL,2026-10-27,6.84,Phone,5.9.9,May,Thursday,Chrome,IoT,Opera,Guten Tag,true,2023-02-17,2019-01-27,Breaking: Policy Change,In-Store,Wearable,Email,/var/uploads/daily_587.parquet,2022-11-30,Mobile,Q2 2023,1997,3.16,2019-12-08T00:00:00Z,2019-04-14T13:59:53Z,2025-07-20,tenant-027,2357.54,Tablet,Chrome,2023-05-20,Chat,4.87,June,voice_52c353bbc4ba7e1f.wav,2025-04-03,Q4 2021,2022-05-11,August,"$217,698",2011,2023,2021-03-23,22:17:15,Q1 2026,Smart TV,Q4 2026,2026-06-14T00:00:00Z,2001,Albuterol 90mcg,Associate's,Firefox,BP 90/73 HR 87,true,HTTP 503 Service Unavailable,+61,Safari,2023-07-24 00:36:01,4741.75,warn=3540,2022-07-20,batch-20180428-47,245 days
Chat,Jan-Mar,,Jan-Mar,The product monitors data processing activities.,Firefox,FY 2025,1.27,Tuesday,IL,2026-10-20,2.2,Chat,5.15.99,October,Thursday,Edge,Smart TV,Opera,Bonjour,false,2024-09-02,2022-05-07,Updated: Policy Change,Social Media,Mobile,Email,/var/tmp/export_728.xml,2019-08-30,Phone,Q1 2022,2011,7.2,2019-02-28T00:00:00Z,2022-12-28 07:29:05,2025-03-17,tenant-028,2418.21,Smart TV,Firefox,2025-09-21,Phone,8.91,March,voice_8c6111001e7854b2.wav,2019-05-28,Q4 2023,2024-12-10,May,"$87,579",2021,1996,2024-12-31,15:34:31,Q3 2020,Mobile,Q1 2022,2023-08-23T00:00:00Z,2017,Ibuprofen 200mg,High School,Chrome,BP 132/94 HR 66,true,HTTP 503 Service Unavailable,+33,Firefox,2022-08-03 23:44:01,142.07,min=4431,2020-01-29,batch-20200629-64,53 days
Chat,Q1 2024,,H2 2023,The customer account represents compliance records.,Firefox,H2 2023,0.61,Thursday,PA,2021-09-01,6.27,In-Store,5.8.16,June,Friday,Edge,Wearable,Firefox,Guten Tag,true,2021-12-22,2024-02-26,New: Policy Change,Web,IoT,Chat,/var/exports/daily_800.parquet,2026-12-10,Email,Q3 2026,2024,3.99,2023-09-23T00:00:00Z,2018-06-04T15:04:10Z,2020-09-24,tenant-027,1281.62,Desktop,Firefox,2025-12-16,Email,0.55,October,voice_72513e066feda9ba.wav,2021-06-10,Q3 2026,2020-01-17,October,"$44,009",2024,2013,2024-11-12,13:10:42,Q3 2025,Wearable,Q1 2022,2018-08-10T00:00:00Z,2015,Ibuprofen 200mg,PhD,Brave,BP 176/66 HR 101,true,NullPointerException at line 8383,+44,Firefox,2026-01-06 05:05:10,4081.49,min=7419,2024-08-11,batch-20200909-87,270 days
Phone,Jan-Mar,,2020-2025,The service manages data processing activities.,Edge,Q1 2024,2.08,Wednesday,CO,2022-08-11,7.57,Mobile,5.5.77,April,Monday,Safari,Desktop,Chrome,Bonjour,YES,2019-05-16,2018-12-19,New: Product Launch,Social Media,Wearable,Email,/var/config/daily_277.json,2024-06-20,In-Store,Q4 2026,2014,4.49,2023-08-05T00:00:00Z,2020-12-06T02:26:37Z,2018-02-08,tenant-040,3683.72,Desktop,Safari,2025-09-11,Phone,3.84,March,voice_49725e3b1ecceb0d.wav,2022-10-02,Q1 2023,2018-05-03,July,"$112,295",2006,1993,2023-12-17,20:50:49,Q1 2024,Wearable,Q3 2020,2019-01-21T00:00:00Z,2020,Albuterol 90mcg,Bachelor's,Safari,BP 98/60 HR 56,false,FileNotFoundError: 9238,+1,Brave,2018-09-03 22:41:55,5155.97,warn=5330,2023-04-28,batch-20211129-43,311 days
